record_id,user_id,transaction_date,region,product_category,sale_amount,city,age,subscription,email,username,status,price,store_id,raw_timestamp
1,U0064,04-06-2023,East,Sports,775.05,Denver,54,Free,user174@example.com,user_147,Inactive,150.07,S003,07-05-2023 15:52
2,U0126,09-02-2023,East,Food,1902.33,Seattle,53,Basic,user269@example.com,user_143,Active,356.85,S013,15-05-2023 22:57
3,U0025,31-12-2023,North,Food,324.77,Portland,41,Free,user14@example.com,user_75,Inactive,147.79,S028,24-11-2023 18:07
4,U0073,23-09-2023,West,Food,424.46,Seattle,65,Free,user279@example.com,user_86,Unknown,171.45,S010,05-02-2023 02:04
5,U0028,24-05-2023,North,Food,687.55,Denver,28,Free,user170@example.com,user_157,Pending,67.02,S020,21-12-2023 16:32
6,U0031,26-10-2023,East,Clothing,1835.12,Los Angeles,16,Premium,user159@example.com,user_197,Active,220.4,S004,15-07-2023 06:53
7,U0067,28-02-2023,South,Food,797.71,Seattle,32,Basic,user142@example.com,user_13,Active,121.56,S010,23-11-2023 05:54
8,U0099,11-07-2023,North,Food,1688.88,San Francisco,23,Premium,user297@example.com,user_46,,79.1,S015,11-05-2023 05:09
9,U0082,26-09-2023,West,Electronics,1153.59,San Francisco,49,Premium,user254@example.com,user_60,Inactive,277.32,S019,20-03-2023 15:06
10,U0131,31-07-2023,West,Books,1476.31,Los Angeles,41,Basic,,user_76,Pending,29.1,S007,02-10-2023 20:11
11,U0135,14-02-2023,East,Clothing,684.85,Seattle,64,Premium,user59@example.com,user_239,Active,148.93,S027,03-01-2023 11:38
12,U0050,04-06-2023,North,Food,86.7,Los Angeles,36,Basic,user154@example.com,user_236,Pending,144.25,S027,17-08-2023 00:27
13,U0076,24-09-2023,West,Clothing,1737.82,Portland,64,Free,user222@example.com,user_97,Active,185.89,S011,24-03-2023 16:23
14,U0026,08-03-2023,West,Books,573.05,Los Angeles,40,Premium,user79@example.com,user_53,Active,202.41,S019,16-10-2023 13:06
15,U0123,20-02-2023,East,Books,1335.74,San Francisco,40,Basic,user192@example.com,user_126,Active,179.51,S007,24-06-2023 16:17
16,U0003,20-08-2023,East,Food,153.48,Los Angeles,29,Basic,user19@example.com,user_272,Active,416.24,S003,15-02-2023 14:42
17,U0044,18-08-2023,West,Clothing,931,San Francisco,17,Basic,user273@example.com,user_112,Pending,431.84,S014,01-08-2023 06:14
18,U0060,30-06-2023,West,Books,1440.35,Sacramento,41,Free,user83@example.com,user_53,Pending,344.33,S018,21-05-2023 01:35
19,U0025,31-12-2023,North,Food,324.77,Portland,41,Free,user14@example.com,user_75,Inactive,147.79,S028,24-11-2023 18:07
20,U0018,24-10-2023,East,Books,195.74,Seattle,22,Free,user231@example.com,user_197,Inactive,,S025,22-04-2023 15:56
21,U0064,30-09-2023,East,Clothing,452.58,Seattle,28,Basic,user69@example.com,,Active,135.51,S004,16-04-2023 09:29
22,U0028,29-04-2023,East,Electronics,593.86,Los Angeles,62,Free,user298@example.com,user_135,Active,181.4,S026,01-12-2023 03:16
23,U0071,05-11-2023,North,Clothing,1252.07,San Francisco,36,Basic,user90@example.com,,Unknown,133.58,S021,19-03-2023 01:00
24,U0035,17-06-2023,West,Books,1294.81,Los Angeles,44,Basic,user93@example.com,user_1,Pending,44.63,S006,10-06-2023 07:15
25,U0058,01-12-2023,North,Electronics,1442.85,Seattle,44,Basic,user36@example.com,user_165,,464.99,S009,10-07-2023 13:42
26,U0080,10-10-2023,South,Clothing,808.6,Seattle,41,Basic,user242@example.com,user_241,,475.47,S022,05-05-2023 01:16
27,U0044,06-12-2023,South,Food,165.93,Seattle,61,Basic,user7@example.com,user_95,Active,175.02,S016,12-02-2023 05:25
28,U0033,12-10-2023,West,Sports,37.69,Seattle,48,Basic,user50@example.com,user_60,Inactive,305.69,S002,27-09-2023 07:22
29,U0065,17-06-2023,West,Food,229.7,Seattle,20,Free,user114@example.com,user_42,Active,273.12,S018,08-02-2023 20:23
30,U0132,23-09-2023,West,Clothing,128.62,Los Angeles,58,Premium,user37@example.com,user_119,Inactive,465.97,S027,23-06-2023 13:52
31,U0054,08-12-2023,West,Food,1513.48,Seattle,33,,user214@example.com,user_187,Active,376.63,S007,26-02-2023 10:27
32,U0048,04-11-2023,West,Sports,1612.65,Los Angeles,60,,user141@example.com,user_113,Pending,76.04,S017,09-08-2023 17:50
33,U0061,25-07-2023,West,Sports,328.8,Los Angeles,23,Premium,user47@example.com,user_150,Pending,412.22,S028,11-04-2023 04:35
34,U0044,07-05-2023,West,Clothing,184.39,Seattle,16,Basic,user95@example.com,user_160,,304.54,S015,18-04-2023 08:23
35,U0036,08-07-2023,West,Food,287.6,Los Angeles,44,Basic,user229@example.com,user_225,Pending,317.01,S030,20-08-2023 14:07
36,U0147,29-04-2023,West,Sports,1330.54,Denver,24,Basic,user161@example.com,user_286,Active,350.5,S005,10-02-2023 01:48
37,U0082,02-02-2023,East,Food,1095.12,Seattle,41,Basic,,user_61,,67.84,S007,26-11-2023 17:15
38,U0128,31-03-2023,South,Books,195.4,Los Angeles,35,Free,user288@example.com,user_254,Pending,452.43,S010,11-08-2023 00:39
39,U0067,25-08-2023,West,Electronics,348.68,Oakland,67,Basic,user147@example.com,user_249,,390.93,S013,20-08-2023 00:12
40,U0054,15-10-2023,West,Books,1693.02,San Francisco,37,Free,user213@example.com,user_274,Active,461.6,S024,25-07-2023 14:14
41,U0008,19-09-2023,West,Sports,1100.53,San Francisco,46,Premium,user127@example.com,user_87,Pending,219.31,S022,21-06-2023 13:53
42,U0039,25-11-2023,East,Sports,187.66,Seattle,70,Free,user285@example.com,user_104,Active,81.69,S024,10-12-2023 20:33
43,U0095,21-04-2023,South,Electronics,588.46,Sacramento,29,Basic,user258@example.com,user_89,,70.88,S020,08-05-2023 03:48
44,U0073,03-03-2023,South,Books,186.74,San Francisco,45,,user141@example.com,user_269,Inactive,,S013,24-01-2023 10:38
45,U0097,04-10-2023,South,Sports,,San Francisco,33,Basic,,user_84,Active,373.21,S020,14-08-2023 16:29
46,U0149,22-03-2023,West,Clothing,550.54,Portland,56,Basic,user136@example.com,user_132,Active,161.69,S022,19-09-2023 14:45
47,U0125,15-06-2023,East,Books,1875.76,Seattle,30,Basic,user168@example.com,,Active,418.69,S020,26-06-2023 01:28
48,U0004,13-12-2023,East,Electronics,1013.97,San Francisco,23,Free,user106@example.com,user_132,Active,377.62,S015,27-07-2023 04:26
49,U0140,03-04-2023,East,Electronics,542.17,Denver,,Basic,user200@example.com,user_30,Pending,410.39,S023,27-02-2023 16:39
50,U0109,19-02-2023,East,Sports,1730.24,Los Angeles,47,Basic,user277@example.com,user_251,Active,329.92,S011,08-11-2023 23:08
51,U0134,11-09-2023,West,Food,1593.04,Los Angeles,31,Basic,user254@example.com,user_262,Active,79.31,S004,01-04-2023 10:38
52,U0048,03-08-2023,West,Electronics,1897.46,Seattle,46,Basic,user248@example.com,user_257,Active,250.55,S021,15-03-2023 09:09
53,U0061,12-01-2023,South,Clothing,826.81,San Francisco,41,Basic,user218@example.com,user_32,Active,148.14,S017,19-08-2023 11:11
54,U0131,09-02-2023,West,Food,250.51,Sacramento,31,Premium,user282@example.com,user_38,Inactive,130.23,S018,23-04-2023 22:31
55,U0123,26-09-2023,North,Food,553.06,Oakland,47,,user183@example.com,user_5,Active,380.23,S027,23-11-2023 15:58
56,U0098,02-05-2023,West,Books,257.24,Seattle,21,Premium,user232@example.com,user_47,Inactive,375.85,S005,13-04-2023 02:07
57,U0069,28-06-2023,West,Books,852.19,San Francisco,46,Basic,user112@example.com,user_105,,,S008,13-04-2023 13:34
58,U0109,20-11-2023,West,Food,765.22,Seattle,24,Basic,user29@example.com,user_78,Inactive,49.15,S005,06-05-2023 05:26
59,U0108,14-06-2023,East,Electronics,414.43,Las Vegas,54,Premium,user280@example.com,user_155,Active,314.55,S018,10-06-2023 05:35
60,U0052,10-09-2023,South,Books,595.22,Tucson,30,Premium,user84@example.com,user_253,Inactive,286.53,S004,12-05-2023 01:21
61,U0071,09-12-2023,East,Electronics,472.3,Denver,38,Basic,user291@example.com,user_244,Active,494.24,S003,22-08-2023 10:13
62,U0004,23-12-2023,West,Clothing,1241.67,Tucson,67,Premium,user236@example.com,user_89,Active,401.37,S005,09-05-2023 18:34
63,U0099,10-08-2023,West,Sports,1887.22,Los Angeles,51,Basic,user98@example.com,user_60,Active,298.11,S030,11-12-2023 03:32
64,U0136,21-07-2023,North,Sports,876.96,Seattle,26,Premium,user203@example.com,user_274,Active,469.72,S008,08-01-2023 23:33
65,U0057,27-07-2023,North,Electronics,1865.77,Los Angeles,58,Premium,user233@example.com,user_216,Inactive,68.7,S002,24-12-2023 02:38
66,U0127,28-05-2023,North,Sports,1735.9,Seattle,44,Basic,user169@example.com,user_221,Active,239.54,S013,12-07-2023 06:30
67,U0139,24-05-2023,West,Books,1678.04,Los Angeles,34,Basic,user46@example.com,user_298,Pending,102.53,S001,23-09-2023 22:39
68,U0045,25-04-2023,South,Food,1312.2,Denver,18,Basic,user227@example.com,user_107,Active,469.62,S024,26-10-2023 04:56
69,U0136,21-07-2023,North,Sports,876.96,Seattle,26,Premium,user203@example.com,user_274,Active,469.72,S008,08-01-2023 23:33
70,U0017,02-07-2023,North,Books,1511.59,Los Angeles,51,Basic,user224@example.com,user_254,Inactive,332.45,S015,28-04-2023 11:11
71,U0142,07-08-2023,East,Books,,Las Vegas,62,Basic,user131@example.com,user_266,Active,288.93,S023,24-12-2023 08:34
72,U0033,13-09-2023,East,Clothing,520.76,Seattle,46,Basic,user140@example.com,user_91,Active,306.6,S005,18-03-2023 12:02
73,U0054,01-12-2023,East,Electronics,1197.35,Los Angeles,69,Basic,user7@example.com,user_114,,288.46,S015,15-02-2023 22:24
74,U0132,17-08-2023,South,Electronics,572.29,San Francisco,34,Free,user10@example.com,user_59,,163.23,S028,17-05-2023 18:12
75,U0010,25-10-2023,West,Clothing,1728.74,Los Angeles,31,Premium,user44@example.com,user_245,,217.06,S019,28-07-2023 23:49
76,U0008,07-02-2023,West,Food,1104.26,San Francisco,56,Free,user43@example.com,user_290,,20.73,S029,19-02-2023 13:59
77,U0003,07-11-2023,North,Electronics,758.73,Seattle,60,Premium,user34@example.com,user_116,Inactive,68.37,S024,17-01-2023 12:44
78,U0134,06-11-2023,East,Books,1209.45,Seattle,43,Premium,user286@example.com,user_186,Active,477.67,S023,24-02-2023 17:18
79,U0106,12-11-2023,East,Electronics,1295.38,Los Angeles,57,Premium,user132@example.com,user_2,Inactive,291.88,S009,19-11-2023 09:12
80,U0079,06-04-2023,West,Books,735.41,San Francisco,50,Basic,user51@example.com,user_179,Pending,361.37,S017,24-04-2023 18:31
