product_id,price,category,status,amount,region,priority,user_id,old_name,base_price,order_date
P1001,11.12,Books,Pending,33.36,South,High,U98696,Rachel Johnson,11.12,2025-10-14
P1002,108.1,Electronics,Pending,216.2,North,Low,U95181,Rachel Lewis,108.1,2025-04-15
P1003,45.34,Toys,Pending,45.34,West,Medium,U38221,Kevin Johnson,45.34,2025-02-13
P1004,750.01,Electronics,Cancelled,2250.03,North,Low,U26361,Mike Johnson,750.01,2025-09-10
P1005,318.03,Sports,Pending,954.09,North,High,U47930,Charlie Taylor,318.03,2025-02-13
P1006,46.43,Groceries,Pending,139.29,East,Medium,U44993,Charlie King,46.43,2025-11-06
P1007,110.72,Toys,Refunded,221.44,West,Medium,U93886,Rachel Taylor,110.72,2025-11-11
P1008,386.47,Sports,Pending,386.47,North,Medium,U18675,Grace King,386.47,2025-12-11
P1009,134.53,Clothing,Refunded,538.12,South,Medium,U83579,Rachel Anderson,134.53,2025-12-19
P1010,2703.69,Furniture,Cancelled,10814.76,South,High,U21915,Bob Johnson,2703.69,2025-03-21
P1011,160.5,Clothing,Completed,642.0,West,Medium,U71348,Quinn Anderson,160.5,2025-09-28
P1012,1376.55,Electronics,Cancelled,1376.55,East,High,U30730,Oscar Smith,1376.55,2025-12-24
P1013,97.25,Groceries,Completed,194.5,East,Low,U36071,Eva Clark,97.25,2025-03-18
P1014,461.99,Sports,Cancelled,461.99,West,High,U57576,Julia Taylor,461.99,2025-01-08
P1015,142.31,Toys,Refunded,142.31,North,Low,U26828,Paula Young,142.31,2025-03-09
P1016,131.5,Toys,Pending,526.0,South,Low,U98039,Laura Walker,131.5,2025-09-15
P1017,533.42,Electronics,Cancelled,533.42,North,Low,U87128,Hannah Smith,533.42,2025-02-23
P1018,8.24,Books,Completed,8.24,East,High,U46500,Paula Taylor,8.24,2025-09-05
P1019,56.45,Books,Refunded,282.25,South,Medium,U34957,David Johnson,56.45,2025-11-14
P1020,43.51,Groceries,Completed,174.04,North,High,U54473,David Taylor,43.51,2025-04-07
P1021,70.05,Toys,Pending,280.2,East,Medium,U19880,Oscar Young,70.05,2025-02-02
P1022,59.96,Books,Completed,59.96,South,High,U73092,Grace Lewis,59.96,2025-01-06
P1023,106.25,Furniture,Cancelled,425.0,West,Medium,U82845,Paula Brown,106.25,2025-04-10
P1024,194.05,Clothing,Completed,970.25,East,High,U72493,Quinn Young,194.05,2025-03-02
P1025,16.62,Toys,Completed,33.24,North,Low,U62923,David King,16.62,2025-04-19
P1026,10.76,Toys,Refunded,10.76,East,Medium,U51180,Hannah Anderson,10.76,2025-07-05
P1027,40.5,Books,Cancelled,162.0,North,High,U83792,David Johnson,40.5,2025-09-07
P1028,43.45,Toys,Completed,130.35,South,Medium,U67433,Rachel Anderson,43.45,2025-10-26
P1029,34.09,Books,Cancelled,170.45,North,High,U24029,Rachel Brown,34.09,2025-05-10
P1030,35.54,Toys,Pending,106.62,East,Low,U16658,Charlie Lewis,35.54,2025-05-02
P1031,700.44,Electronics,Cancelled,1400.88,South,Low,U66057,Rachel Smith,700.44,2025-02-03
P1032,54.72,Books,Completed,273.6,East,Low,U66333,Eva Smith,54.72,2025-05-12
P1033,486.38,Sports,Cancelled,486.38,South,Low,U23473,Laura Young,486.38,2025-07-20
P1034,13.5,Books,Pending,27.0,South,Medium,,Kevin Lewis,13.5,2025-11-28
P1035,49.59,Books,Pending,148.77,North,Medium,U71694,Hannah Taylor,49.59,2025-08-12
P1036,82.41,Groceries,Pending,164.82,North,Low,U53025,Ivan Johnson,82.41,2025-05-12
P1037,33.02,Books,Cancelled,165.1,North,High,U44237,Frank King,33.02,2025-05-02
P1038,1213.31,Electronics,Cancelled,3639.93,West,Low,U25157,Mike King,1213.31,2025-04-09
P1039,1432.13,Electronics,Pending,1432.13,East,Medium,U97062,Kevin King,1432.13,2025-06-22
P1040,71.07,Sports,Cancelled,213.21,West,Medium,U48752,Rachel Brown,71.07,2025-04-14
P1041,56.72,Books,Cancelled,113.44,West,Low,U49829,Julia Taylor,56.72,2025-07-26
