customer_id,name,email,city,signup_date,status
2366,Kabir Peri,kabir.peri974@example.com,Surat,2024-07-17,active
1845,Thomas Borah,thomas.borah45@newmail.com,Pune,2024-12-08,active
2178,Lohit Suresh,lohit.suresh809@newmail.com,Jaipur,2025-06-26,active
2057,Zayan Hans,zayan.hans187@newmail.com,Pune,2023-08-18,active
1513,Bhanumati Saha,bhanumati.saha573@newmail.com,Lucknow,2025-08-09,active
2146,Gautam Kalla,gautam.kalla391@newmail.com,Vadodara,2025-12-22,active
1332,Bhavya Dass,bhavya.dass189@newmail.com,Hyderabad,2023-12-06,active
2254,Yashoda Chauhan,yashoda.chauhan645@newmail.com,Bengaluru,2024-09-28,active
2077,Samesh Banerjee,samesh.banerjee591@newmail.com,Nagpur,2025-07-09,active
1496,Sarthak Buch,sarthak.buch185@newmail.com,Patna,2025-05-21,active
1022,Lavanya Mutti,lavanya.mutti448@newmail.com,Nagpur,2026-05-30,active
1539,Bhavini Sundaram,bhavini.sundaram767@newmail.com,Thiruvananthapuram,2023-10-10,inactive
1418,Nathan Subramaniam,nathan.subramaniam264@newmail.com,Chandigarh,2024-09-04,active
1111,Jonathan Sastry,jonathan.sastry308@newmail.com,Delhi,2024-04-22,inactive
2260,Jagdish Chadha,jagdish.chadha279@newmail.com,Ranchi,2026-02-03,active
1240,Reva Kohli,reva.kohli825@newmail.com,Visakhapatnam,2026-04-20,inactive
1263,Neel Khanna,neel.khanna840@newmail.com,Bengaluru,2023-11-17,active
1014,Praneel Mani,praneel.mani139@newmail.com,Lucknow,2026-05-26,active
1536,Upma Kata,upma.kata738@newmail.com,Kolkata,2026-05-14,inactive
2298,Victor Choudhary,victor.choudhary420@newmail.com,Thiruvananthapuram,2024-07-03,active
2347,Arya Mahajan,arya.mahajan579@example.com,Chennai,2025-09-25,active
2387,Tanay Sibal,tanay.sibal463@example.com,Mumbai,2024-04-22,active
2318,Orinder Modi,orinder.modi278@example.com,Guwahati,2023-08-11,inactive
